Country Name;Indicator Name;Indicator Code;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Arab World;All staff compensation as % of total expenditure in lower secondary public institutions (%);UIS.XSPENDP.2.FDPUB.FNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;All staff compensation as % of total expenditure in primary public institutions (%);UIS.XSPENDP.1.FDPUB.FNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;All staff compensation as % of total expenditure in public institutions (%);UIS.XSPENDP.FDPUB.FNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;All staff compensation as % of total expenditure in secondary public institutions (%);UIS.XSPENDP.23.FDPUB.FNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;All staff compensation as % of total expenditure in tertiary public institutions (%);UIS.XSPENDP.56.FDPUB.FNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;All staff compensation as % of total expenditure in upper secondary public institutions (%);UIS.XSPENDP.3.FDPUB.FNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Capital expenditure as % of total expenditure in lower secondary public institutions (%);UIS.XSPENDP.2.FDPUB.FNCAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Capital expenditure as % of total expenditure in primary public institutions (%);UIS.XSPENDP.1.FDPUB.FNCAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Capital expenditure as % of total expenditure in public institutions (%);UIS.XSPENDP.FDPUB.FNCAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Capital expenditure as % of total expenditure in secondary public institutions (%);UIS.XSPENDP.23.FDPUB.FNCAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Capital expenditure as % of total expenditure in tertiary public institutions (%);UIS.XSPENDP.56.FDPUB.FNCAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Capital expenditure as % of total expenditure in upper-secondary public institutions (%);UIS.XSPENDP.3.FDPUB.FNCAP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Current expenditure other than staff compensation as % of total expenditure in lower secondary public institutions (%);UIS.XSPENDP.2.FDPUB.FNNONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Current expenditure other than staff compensation as % of total expenditure in primary public institutions (%);UIS.XSPENDP.1.FDPUB.FNNONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);UIS.XSPENDP.FDPUB.FNNONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Current expenditure other than staff compensation as % of total expenditure in secondary public institutions (%);UIS.XSPENDP.23.FDPUB.FNNONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Current expenditure other than staff compensation as % of total expenditure in tertiary public institutions (%);UIS.XSPENDP.56.FDPUB.FNNONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Current expenditure other than staff compensation as % of total expenditure in upper secondary public institutions (%);UIS.XSPENDP.3.FDPUB.FNNONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Elderly illiterate population, 65+ years, both sexes (number);UIS.LP.AG65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Elderly literacy rate, population 65+ years, both sexes (%);UIS.LR.AG65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;Enrolment in lower secondary education, both sexes (number);UIS.E.2;14211094.0;14772844.0;15173488.0;15710471.0;16562584.0;17039912.0;17365472.0;17606446.0;18119566.0;18632242.0;19393736.0;19489596.0;19679608.0;19783538.0;19228982.0
Arab World;Enrolment in lower secondary education, private institutions, both sexes (number);UIS.E.2.PR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
